platform_number,date,date_update,latitude,longitude,ocean,profiler,institution,cyc,pressure_dbar,temperature_c,salinity_psu,depth_m,oxygen_umolkg,potential_density_kgm3,chlorophyll_mgm3,ph,nitrate_umolkg,qc_flag
5901064,2005-08-19,2021-05-24,11.041,66.931,I,SOLO-II,AOML (USA),162,749.08,16.824,34.548,749.1,188.95,1023.274,0.007,8.083,14.88,GOOD
5901064,2005-10-16,2018-08-22,6.223,52.802,I,Teledyne Webb Research APEX,IFREMER (France),390,1901.43,2.693,35.656,1901.4,211.55,1026.986,0.0,8.102,29.61,PROBABLY_GOOD
5901064,2006-03-08,2018-02-03,-21.465,73.755,I,SOLO-II,JAMSTEC (Japan),524,1463.99,7.767,35.466,1464.0,178.24,1025.819,0.001,8.009,22.09,GOOD
5901064,2006-07-25,2015-01-24,-39.102,92.194,I,Teledyne Webb Research APEX,IFREMER (France),603,1197.32,12.569,35.092,1197.3,131.58,1024.56,0.003,8.089,16.1,GOOD
5901064,2006-11-21,2016-07-06,23.475,99.44,I,NKE Arvor,AOML (USA),688,312.04,22.167,34.663,312.0,207.12,1022.297,0.309,8.036,4.79,BAD
5901064,2006-12-23,2019-05-20,16.791,66.728,I,NKE Arvor,AOML (USA),148,311.99,24.915,35.28,312.0,230.1,1022.241,0.189,8.117,4.68,GOOD
5901064,2007-03-25,2015-05-19,-16.44,37.756,I,NKE Arvor,JAMSTEC (Japan),44,116.17,21.19,34.347,116.2,192.69,1022.24,0.476,8.069,2.09,GOOD
5901064,2007-06-26,2020-06-10,-7.132,32.705,I,PROVOR,IFREMER (France),456,1732.35,4.802,35.231,1732.4,199.56,1026.224,0.0,8.099,19.12,GOOD
5901064,2008-06-17,2019-01-29,15.947,49.22,I,PROVOR,AOML (USA),419,1202.23,13.091,35.171,1202.2,130.61,1024.519,0.001,8.05,22.57,GOOD
5901064,2008-07-10,2021-07-25,9.736,44.328,I,Teledyne Webb Research APEX,INCOIS (India),311,1416.15,9.393,34.739,1416.2,208.27,1024.913,0.001,8.029,14.3,GOOD
5901064,2008-09-14,2021-12-23,-36.492,98.139,I,SOLO-II,CSIRO (Australia),96,41.17,28.536,35.256,41.2,233.84,1021.498,0.881,8.067,0.77,GOOD
5901064,2009-05-04,2019-07-28,-13.488,44.303,I,NKE Arvor,CSIRO (Australia),245,1939.82,1.903,34.621,1939.8,196.18,1026.316,0.0,8.118,36.87,GOOD
5901064,2009-10-04,2016-08-14,-22.94,106.447,I,PROVOR,JAMSTEC (Japan),18,1664.89,6.102,34.294,1664.9,108.13,1025.215,0.0,8.019,28.12,GOOD
5901064,2009-10-18,2017-04-26,-39.493,82.206,I,SOLO-II,CSIRO (Australia),701,424.68,19.841,35.191,424.7,245.43,1023.185,0.034,8.077,7.23,GOOD
5901064,2010-03-01,2019-11-21,-31.846,106.707,I,NKE Arvor,AOML (USA),228,363.65,21.662,34.766,363.6,142.21,1022.48,0.093,8.243,6.53,GOOD
5901064,2010-04-17,2015-06-20,-13.82,40.298,I,SOLO-II,AOML (USA),103,366.81,18.735,35.041,366.8,195.51,1023.286,0.221,7.998,6.03,BAD
5901064,2010-06-18,2020-07-14,-30.717,51.273,I,SOLO-II,INCOIS (India),539,608.48,16.327,35.528,608.5,218.12,1024.157,0.023,7.944,9.0,GOOD
5901064,2010-09-27,2018-09-16,1.469,71.702,I,Teledyne Webb Research APEX,AOML (USA),421,1049.51,13.424,34.511,1049.5,223.18,1023.924,0.004,7.974,13.9,INTERPOLATED
5901064,2010-11-28,2019-03-06,-39.615,83.533,I,PROVOR,AOML (USA),140,863.89,14.164,34.743,863.9,108.0,1023.962,0.019,8.026,13.36,PROBABLY_GOOD
5901064,2011-11-24,2019-05-14,-33.879,60.84,I,PROVOR,AOML (USA),466,582.46,17.571,35.428,582.5,184.69,1023.828,0.013,8.049,6.11,PROBABLY_GOOD
5901064,2012-08-18,2020-09-28,-22.795,104.677,I,PROVOR,INCOIS (India),508,1223.71,10.302,35.067,1223.7,182.04,1024.993,0.002,7.872,23.23,PROBABLY_GOOD
5901064,2012-09-29,2019-04-30,-38.698,61.787,I,PROVOR,AOML (USA),321,278.99,19.401,34.52,279.0,237.56,1022.736,0.356,7.892,3.3,GOOD
